ARRC ID,NCIC AGENCY CODE,YEAR,MONTH,LOCATION TYPE,TYPE OF LOSS,VALUE,PROPERTY CATEGORY,QUANTITY,S.RACE,S.GENDER,V.RACE,V.GENDER,VICTIM TYPE,WEAPON,OFFENSE CODE,CODE TYPE,DESCRIPTION,CHARGE TYPE,BCS CODE,SUMMARY CODE
13809,0704,2005,08,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",,Commercial/Business,1,Unknown,Unknown,,,Business,Other,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
16582,5002,2005,12,Private Reproductive Health Facility,,,,,White,Female,White,Female,Individual Employee,,148.1(C),PC   ,FALSE BOMB REPORT,F    ,390,06
17498,3015,2005,11,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",500,Commercial/Business,1,Unknown,Unknown,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,066,47
19409,0402,2006,02,Private Reproductive Health Facility,,,,,White,Male,White,Male,Individual Employee,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
25233,3905,2006,07,Public Reproductive Health Facility,,,,,White,Male,Black,Male,Individual Other,,423.2(C),PC   ,NONVIOL OBST:REP HLTH SVS,M    ,399,30
26059,3313,2006,12,Private Reproductive Health Facility,,,,,White,Male,Hispanic,Female,Individual Client,,423.2(C),PC   ,NONVIOL OBST:REP HLTH SVS,M    ,399,30
26959,1925,2006,12,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",400,Other Structure,1,Unknown,Unknown,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,066,47
30645,1955,2007,07,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",100,Structure:Public/Community,1,Unknown,Female,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,066,47
30949,4116,2007,02,Private Reproductive Health Facility,,,,,White,Male,White,Male,Individual Employee,Handgun,664/187(A),PC   ,ATT MURDER:PREMEDITATED,F    ,300,06
31040,3905,2007,08,Public Reproductive Health Facility,,,,,White,Male,Black,Male,Individual Other,Other,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
32775,4313,2007,09,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",,Structure:Commercial/Business,1,White,Male,,,Business,,423.2(E),PC   ,DAMAGE PROP:REP HLTH SVS,M    ,066,47
33186,3610,2007,09,Private Reproductive Health Facility,,,,,White,Male,,,Business,,602.1(A),PC   ,TRESPASS PUBLIC BUSINESS,M    ,068,49
34817,1925,2007,12,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",300,Structure:Commercial/Business,1,Unknown,Unknown,,,Health Facility,,422.6(B),PC   ,DAMAGE PROP:VIO CIVL RGHT,M    ,066,47
35507,1925,2008,01,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",100,Structure:Public/Community,1,Unknown,Unknown,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,066,47
43866,1920,2008,01,Government/Public Building,,,,,Unknown,Unknown,,,Health Facility,,148.1(A),PC   ,FALSE BOMB/ETC REP:PO/ETC,F    ,390,06
43868,1200,2008,02,Public Reproductive Health Facility,Burned,,Structure:Commercial/Business,1,Unknown,Unknown,,,Health Facility,Fire/Incendiary Device,422.6(B),PC   ,DAMAGE PROP:VIO CIVL RGHT,M    ,066,47
43868,1200,2008,02,Public Reproductive Health Facility,Burned,,Structure:Commercial/Business,1,Unknown,Unknown,,,Health Facility,Fire/Incendiary Device,591,PC   ,DAMAGE/ETC POWER LINES,F    ,991,25
43868,1200,2008,02,Public Reproductive Health Facility,Burned,,Structure:Commercial/Business,1,Unknown,Unknown,,,Health Facility,Fire/Incendiary Device,11413(A),PC   ,USE EXPL DEV TO TERRORIZE,F    ,362,06
43889,0109,2008,03,Public Reproductive Health Facility,None,,Structure:Public/Community,1,Black,Male,,,Health Facility,,65000,ZZ   ,LOCAL ORDINANCE VIOL,M    ,097,58
45095,4313,2008,03,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",1,Structure:Commercial/Business,1,Unknown,Unknown,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,066,47
48004,0402,2009,04,Private Reproductive Health Facility,,,,,Unknown,Male,White,Female,Individual Employee,,653M(A),PC   ,ANNOYING PHONE CALLS,M    ,056,46
48005,3404,2009,04,Private Reproductive Health Facility,,,,,Unknown,Male,White,Female,Individual Employee,,653M(A),PC   ,ANNOYING PHONE CALLS,M    ,056,46
48006,3404,2009,04,Private Reproductive Health Facility,,,,,Unknown,Male,White,Female,Individual Employee,,653M(A),PC   ,ANNOYING PHONE CALLS,M    ,056,46
48380,5002,2009,07,Private Reproductive Health Facility,,,,,Unknown,Female,Hispanic,Female,Individual Employee,,148.1(A),PC   ,FALSE BOMB/ETC REP:PO/ETC,F    ,390,06
48380,5002,2009,07,Private Reproductive Health Facility,,,,,Unknown,Female,White,Female,Individual Employee,,148.1(A),PC   ,FALSE BOMB/ETC REP:PO/ETC,F    ,390,06
50767,0402,2009,05,Private Reproductive Health Facility,,,,,White,Male,Black,Female,Individual Employee,,422,PC   ,THREAT CRIME:INT:TERORIZE,M    ,399,30
50767,0402,2009,05,Private Reproductive Health Facility,,,,,White,Male,Black,Female,Individual Employee,,422,PC   ,THREAT CRIME:INT:TERORIZE,M    ,399,30
51594,3313,2009,11,Public Reproductive Health Facility,,,,,Unknown,Female,White,Female,Individual Employee,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
52556,2109,2009,01,Public Reproductive Health Facility,,,,,White,Male,Black,Female,Individual Other,,422,PC   ,THRTN CRIME:INT:TERRORIZE,F    ,345,06
52579,3400,2009,08,Other,,,,,Black,Male,Black,Female,Individual Client,,422,PC   ,THRTN CRIME:INT:TERRORIZE,F    ,345,06
52580,5407,2009,08,Public Reproductive Health Facility,Stolen,1310,Office-type Equipment,4,Unknown,Unknown,,,Health Facility,,459,PC   ,BURGLARY,F    ,400,08
52584,5607,2009,05,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",25,Structure:Public/Community,1,Unknown,Unknown,,,Health Facility,,594(B)(2)(A),PC   ,VANDALISM -$400,M    ,066,47
54985,3610,2010,05,Private Reproductive Health Facility,,,,,White,Male,,,Business,,602.1(A),PC   ,TRESPASS PUBLIC BUSINESS,M    ,068,49
56100,3404,2010,05,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",1,Structure:Public/Community,1,Unknown,Unknown,,,Health Facility,,423.2(E),PC   ,DAMAGE PROP:REP HLTH SVS,M    ,066,47
58403,1942,2010,05,Public Reproductive Health Facility,None,,Structure:Public/Community,1,Unknown,Male,Hispanic,Female,Individual Employee,,148.1(B),PC   ,FALSE BOMB RPRT TO PO,F    ,390,06
61493,3400,2010,09,Public Reproductive Health Facility,,,,,Unknown,Male,Other,Female,Individual Employee,,148.1(C),PC   ,FALSE BOMB REPORT,F    ,390,06
61516,3313,2011,01,Public Reproductive Health Facility,,,,,White,Male,Hispanic,Female,Individual Employee,,423.2(C),PC   ,NONVIOL OBST:REP HLTH SVS,M    ,399,30
61517,3313,2011,01,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Employee,"Personal Weapons (hands, feet, etc.)",423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
62944,3105,2011,04,Private Reproductive Health Facility,None,,Structure:Commercial/Business,1,Unknown,Male,Other,Male,Individual Employee,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
64061,3313,2011,04,Private Reproductive Health Facility,None,,Structure:Public/Community,1,White,Male,,,Health Facility,,602(L)(1),PC   ,TRSPSS:PSTD LND:RFS TO LV,M    ,068,49
64891,3313,2011,05,Private Reproductive Health Facility,None,,Structure:Public/Community,1,White,Male,,,Health Facility,,602(O)(2),PC   ,RFUSE GO:OWN REQ:PRIV PRO,M    ,068,49
66521,3610,2011,07,Public Reproductive Health Facility,,,,,White,Male,,,Health Facility,,602.1(A),PC   ,TRESPASS PUBLIC BUSINESS,M    ,068,49
67777,3801,2011,09,Public Reproductive Health Facility,,,,,White,Male,White,Female,Individual Other,,65000,ZZ   ,LOCAL ORDINANCE VIOL,M    ,097,58
67778,1001,2011,05,Commercial/Office Building,,,,,Unknown,Female,Hispanic,Female,Individual Employee,,422,PC   ,THREAT CRIME:INT:TERORIZE,M    ,399,30
69398,4313,2011,11,Public Reproductive Health Facility,,,,,White,Male,White,Male,Individual Employee,"Personal Weapons (hands, feet, etc.)",423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
70287,1942,2012,01,Parking Lot/Garage,"Destroyed, Damaged, or Vandalized",2000,"Automobiles (includes pickups, SUVs, etc.)",1,Unknown,Unknown,Other,Male,Individual Other,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,066,47
70833,5600,2012,02,Commercial/Office Building,,,,,Unknown,Male,,,Business,Other,148.1(A),PC   ,FALSE BOMB/ETC REP:PO/ETC,F    ,390,06
71528,0405,2012,03,Public Reproductive Health Facility,,,,,Unknown,Male,White,Female,Individual Employee,Other,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
71543,0402,2012,03,Public Reproductive Health Facility,,,,,Unknown,Male,,,Health Facility,Unknown,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
76152,4004,2012,09,School/College,,,,,Unknown,Unknown,Other,Female,Individual Other,Other,422.6(A),PC   ,VIO CIVIL RGHTS:FRCE/THRT,M    ,399,30
78155,4313,2012,10,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",825,Structure:Commercial/Business,1,Hispanic,Male,,,Business,Other,423.2(E),PC   ,DAMAGE PROP:REP HLTH SVS,M    ,066,47
78908,0107,2012,11,Parking Lot/Garage,,,,,Unknown,Male,White,Male,Individual Other,,594(B)(2)(A),PC   ,VANDALISM -$400,M    ,066,47
78909,5801,2012,12,Public Reproductive Health Facility,None,,Structure:Public/Community,1,Unknown,Male,,,Health Facility,,653M(A),PC   ,ANNOYING PHONE CALLS,M    ,056,46
88301,3801,2014,04,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",0,Structure:Public/Community,1,Black,Male,,,Health Facility,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,066,47
91416,4116,2014,06,Public Reproductive Health Facility,,,,,White,Female,White,Female,Individual Employee,,423.2(C),PC   ,NONVIOL OBST:REP HLTH SVS,M    ,399,30
97361,4502,2015,02,Private Reproductive Health Facility,None,0,Structure:Commercial/Business,1,White,Male,Hispanic,Female,Individual Other,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
97361,4502,2015,02,Private Reproductive Health Facility,None,0,Structure:Commercial/Business,1,White,Male,Hispanic,Male,Individual Other,,423.2(A),PC   ,VIOLENCE/ETC:REP HLTH SVS,M    ,399,30
100916,3404,2015,07,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",500,Structure:Commercial/Business,1,White,Male,,,Business,,594(B)(1),PC,VANDALISM $400 OR MORE,F,064,25
101578,4116,2015,08,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",0,Structure:Commercial/Business,1,Unknown,Unknown,,,Business,,594(A)(2),PC   ,VANDALISM:DAMAGE PROPERTY,M    ,066,47
102265,1304,2015,04,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",35,Structure:Public/Community,1,White,Male,,,Government,,594(A)(1),PC   ,VANDALISM:DEFACE PROPERTY,M    ,066,47
108235,5002,2016,05,Public Reproductive Health Facility,Burned,25000,Structure:Public/Community,1,Unknown,Unknown,,,Health Facility,Fire/Incendiary Device,451(D),PC   ,ARSON:PROPERTY,F    ,924,24
111347,3610,2016,10,Private Reproductive Health Facility,,,,,White,Male,,,Health Facility,,602.1(A),PC   ,TRESPASS PUBLIC BUSINESS,M    ,068,49
116552,1942,2017,02,Public Reproductive Health Facility,Stolen,150,Persnl Items Othr Than Clothing (purses/handbags/wallets),3,Unknown,Unknown,Black,Female,Individual Client,Other,484(A),PC,PETTY THEFT,M,516,31
116637,1942,2017,02,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",0,Other Structure,0,Unknown,Unknown,,,Health Facility,Unknown,594(A)(1),PC,VANDALISM:DEFACE PROPERTY,M,066,47
117845,3801,2017,07,Commercial/Office Building,None,0,Structure:Commercial/Business,1,White,Male,,,Health Facility,,594(A)(1),PC,VANDALISM:DEFACE PROPERTY,M,066,47
117846,3801,2017,07,Residence/Home/Driveway,None,0,Single Occup Dwellings (e.g house),1,Unknown,Unknown,Other,Male,Individual Employee,,594(A)(1),PC,VANDALISM:DEFACE PROPERTY,M,066,47
117847,3801,2017,07,Commercial/Office Building,None,0,Structure:Commercial/Business,1,Unknown,Unknown,,,Health Facility,,594(A)(1),PC,VANDALISM:DEFACE PROPERTY,M,066,47
117848,3801,2017,07,Residence/Home/Driveway,None,0,Single Occup Dwellings (e.g house),1,Unknown,Unknown,White,Male,Individual Employee,,594(A)(1),PC,VANDALISM:DEFACE PROPERTY,M,066,47
117849,3801,2017,07,Residence/Home/Driveway,None,0,Single Occup Dwellings (e.g house),0,Unknown,Unknown,White,Male,Individual Employee,,594(A)(1),PC,VANDALISM:DEFACE PROPERTY,M,066,47
119809,1942,2017,09,Public Reproductive Health Facility,None,0,Other,0,Black,Female,Hispanic,Male,Individual Other,"Personal Weapons (hands, feet, etc.)",242,PC,BATTERY ON PERSON,M,397,30
121966,4502,2017,08,Private Reproductive Health Facility,None,0,Other,1,White,Male,,,Health Facility,,423.2(C),PC,NONVIOL OBST:REP HLTH SVS,M,399,30
122188,1942,2017,11,Private Reproductive Health Facility,None,0,Other,1,Other,Male,Hispanic,Female,Individual Client,"Personal Weapons (hands, feet, etc.)",422.6(A),PC,VIO CIVIL RGHTS:FRCE/THRT,M,399,30
122633,3711,2018,02,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",0,Structure:Commercial/Business,1,Unknown,Unknown,,,Business,,422.6(B),PC,DAMAGE PROP:VIO CIVL RGHT,M,066,47
122740,3706,2018,02,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",1500,Structure:Public/Community,1,Unknown,Male,,,Business,,594(B)(1),PC,VANDALISM $400 OR MORE,F,064,25
124415,3711,2018,04,Private Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",1000,Structure:Commercial/Business,1,Unknown,Unknown,,,Business,,594(B)(1),PC,VANDALISM $400 OR MORE,M,066,47
127048,3404,2018,06,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",500,"Automobiles (includes pickups, SUVs, etc.)",1,Hispanic,Male,White,Female,Individual Employee,Blunt Object,245(A)(1),PC,ADW NOT FIREARM,F,320,06
130235,1942,2018,11,Other,None,0,Other,0,Hispanic,Female,,,Health Facility,,602(N),PC,TRESPAS:DRIV ON PRIV PROP,M,068,49
130243,1942,2018,01,Public Reproductive Health Facility,None,0,Other,0,White,Male,Hispanic,Female,Individual Other,Blunt Object,242,PC,BATTERY ON PERSON,M,397,30
130247,1942,2018,01,Public Reproductive Health Facility,Stolen,600,Office-type Equipment,2,Unknown,Unknown,,,Health Facility,,459,PC,BURGLARY:SECOND DEGREE,M,406,76
130248,1942,2018,09,Public Reproductive Health Facility,Stolen,950,Persnl Items Othr Than Clothing (purses/handbags/wallets),3,Unknown,Unknown,Other,Female,Individual Other,,459,PC,BURGLARY,M,406,76
130249,1942,2018,02,Public Reproductive Health Facility,None,0,Other,0,Black,Female,Hispanic,Female,Individual Other,"Personal Weapons (hands, feet, etc.)",242,PC,BATTERY ON PERSON,M,397,30
132372,3801,2018,08,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",500,Structure:Public/Community,1,Unknown,Unknown,,,Health Facility,,594(A)(1),PC,VANDALISM:DEFACE PROPERTY,F,064,25
132373,3801,2018,10,Public Reproductive Health Facility,"Destroyed, Damaged, or Vandalized",100,Structure:Public/Community,1,Unknown,Male,,,Health Facility,,594(B)(2)(A),PC,VANDALISM -$400,M,066,47
