measure_name,datum,state_id,state_name,first_year,last_year,footnotes,sources,
% change in the no. of abortion clinics,4,IL,Illinois,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-33,IN,Indiana,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-33,IA,Iowa,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,0,KS,Kansas,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-50,KY,Kentucky,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-20,LA,Louisiana,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,300,ME,Maine,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,0,MD,Maryland,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,36,MA,Massachusetts,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,5,MI,Michigan,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,17,MN,Minnesota,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,0,MS,Mississippi,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,200,MO,Missouri,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,0,MT,Montana,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,0,NE,Nebraska,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-13,NV,Nevada,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,0,NH,New Hampshire,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,0,NJ,New Jersey,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-33,NM,New Mexico,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,19,NY,New York,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-13,NC,North Carolina,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,0,ND,North Dakota,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-25,OH,Ohio,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,33,OK,Oklahoma,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,7,OR,Oregon,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-10,PA,Pennsylvania,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-33,RI,Rhode Island,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,33,SC,South Carolina,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,0,SD,South Dakota,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,14,TN,Tennessee,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-25,TX,Texas,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,50,UT,Utah,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,0,VT,Vermont,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-11,VA,Virginia,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,21,WA,Washington,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-50,WV,West Virginia,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,-25,WI,Wisconsin,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% change in the no. of abortion clinics,0,WY,Wyoming,2014,2017,"A provider is a hospital, clinic or physician's office where abortions are performed. Physicians’ offices reporting 400 or more abortions a year are classified as clinics. ","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>",
% of likely need met by publicly funded centers,28,AL,Alabama,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,54,AK,Alaska,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,19,AZ,Arizona,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,23,AR,Arkansas,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,64,CA,California,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,35,CO,Colorado,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,38,CT,Connecticut,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,30,DE,Delaware,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,88,DC,District of Columbia,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,16,FL,Florida,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,26,GA,Georgia,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,21,HI,Hawaii,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,18,ID,Idaho,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,24,IL,Illinois,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,17,IN,Indiana,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,27,IA,Iowa,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,18,KS,Kansas,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,23,KY,Kentucky,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,21,LA,Louisiana,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,34,ME,Maine,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,32,MD,Maryland,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,25,MA,Massachusetts,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,16,MI,Michigan,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,25,MN,Minnesota,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,23,MS,Mississippi,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,21,MO,Missouri,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,36,MT,Montana,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,24,NE,Nebraska,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,14,NV,Nevada,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,29,NH,New Hampshire,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,27,NJ,New Jersey,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,35,NM,New Mexico,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,37,NY,New York,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,16,NC,North Carolina,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,23,ND,North Dakota,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,20,OH,Ohio,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,30,OK,Oklahoma,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,40,OR,Oregon,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,32,PA,Pennsylvania,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,41,RI,Rhode Island,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,26,SC,South Carolina,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,21,SD,South Dakota,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,22,TN,Tennessee,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,21,TX,Texas,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,18,UT,Utah,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,55,VT,Vermont,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,16,VA,Virginia,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,31,WA,Washington,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
% of likely need met by publicly funded centers,66,WV,West Virginia,2016,n/a,,"Publicly Supported Family Planning Services in the United States: Likely Need, Availability and Impact <https://www.guttmacher.org/report/publicly-supported-FP-services-us-2016>",
